riddle,solution
I am a two-digit number. My tens digit is twice my ones digit. What number am I?,42
What number becomes zero when you subtract 15 from half of it?,30
"I am a number. Multiply me by 4, then subtract 6, and you get 18. What number am I?",6
A number is three times another number. Their sum is 48. What are the numbers?,12 and 36
I am an even number between 1 and 50. The sum of my digits is 5. What number am I?,14
"If you double me and subtract 4, you get 10. What number am I?",7
"I am a number. If you subtract 10 from me, you get twice 5. What number am I?",20
"The sum of two numbers is 20, and their difference is 4. What are the numbers?",12 and 8
"I am a number. If you divide me by 3, you get 9. What number am I?",27
"What number comes next in the sequence: 2, 6, 12, 20, __?",30
"I am a three-digit number. My hundreds digit is 3 more than my tens digit, and my ones digit is 2 less than my tens digit. What number am I?",642
What number is twice the sum of its digits?,18
A number is seven times another number. Their sum is 56. What are the numbers?,7 and 49
"I am a number. If you multiply me by 8 and subtract 4, you get 28. What number am I?",4
"The product of two numbers is 36, and their sum is 13. What are the numbers?",4 and 9
A number is half of another number. Their sum is 18. What are the numbers?,6 and 12
"What number comes next in the sequence: 1, 3, 6, 10, 15, __?",21
The sum of the squares of two numbers is 25. The numbers are positive integers. What are they?,3 and 4
"I am a number. If you add 7 to me and divide by 3, you get 10. What number am I?",23
"If I divide a number by 4, the result is 7. What is the number?",28
What number is three times the sum of its digits?,27
"If I am squared, I am equal to 64. What number am I?",8
A number is four times another number. Their difference is 36. What are the numbers?,9 and 36
"I am a number. If you multiply me by 5 and subtract 10, you get 25. What number am I?",7
"I am a three-digit number. My ones digit is 3, my tens digit is 5, and my hundreds digit is 2. What number am I?",253
A number plus twice itself equals 45. What is the number?,15
"I am a two-digit number. The sum of my digits is 10, and my tens digit is double my ones digit. What number am I?",82
A number minus three times itself is -40. What number am I?,20
"I am a number. If you add 4 to me and multiply by 3, you get 30. What number am I?",6
The sum of two consecutive even numbers is 42. What are the numbers?,20 and 22
